Country,No. of Irregular Migrants,Central Mediterranean Route,Western Mediterranean Route,Western African Route,Other Routes,No. of Irregular Migrants from Northern African Route,No. of Irregular Migrants in UK
Algeria,8508.0,978.0,7410.0,0.0,119.0,8388.0,3.0
Angola,17.0,0.0,0.0,1.0,15.0,1.0,0.0
Benin,131.0,124.0,5.0,0.0,0.0,129.0,0.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burkina,564.0,557.0,1.0,3.0,1.0,561.0,0.0
Burundi,2588.0,0.0,0.0,18.0,2569.0,18.0,0.0
Cameroon,3610.0,2952.0,3.0,64.0,588.0,3019.0,14.0
Cape Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,18.0,14.0,0.0,0.0,2.0,14.0,1.0
Chad,105.0,95.0,0.0,1.0,8.0,96.0,7.0
Comoros,135.0,55.0,0.0,75.0,4.0,130.0,0.0
Congo,362.0,118.0,0.0,3.0,240.0,121.0,0.0
"Congo, Democratic Republic of",3482.0,424.0,3.0,48.0,3004.0,475.0,0.0
Djibouti,50.0,0.0,0.0,0.0,50.0,0.0,0.0
Egypt,22343.0,21225.0,0.0,0.0,1117.0,21225.0,791.0
Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethiopia,540.0,446.0,0.0,0.0,93.0,446.0,33.0
Gabon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,1385.0,1047.0,8.0,314.0,15.0,1369.0,2.0
Ghana,307.0,205.0,3.0,63.0,34.0,271.0,1.0
Guinea,5958.0,5326.0,59.0,446.0,125.0,5831.0,4.0
Guinea Bissau,56.0,28.0,0.0,26.0,0.0,54.0,1.0
Ivory Coast,7107.0,6524.0,7.0,561.0,14.0,7092.0,1.0
Kenya,6.0,1.0,0.0,0.0,4.0,1.0,0.0
Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liberia,312.0,213.0,1.0,5.0,91.0,219.0,0.0
Libya,954.0,782.0,66.0,0.0,104.0,848.0,276.0
Madagascar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malawi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mali,1725.0,1298.0,25.0,362.0,37.0,1685.0,0.0
Mauritania,11.0,3.0,0.0,7.0,0.0,10.0,4.0
Mauritius,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,14575.0,306.0,6762.0,4809.0,2696.0,11877.0,8.0
Mozambique,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Niger,31.0,27.0,0.0,1.0,1.0,28.0,13.0
Nigeria,1281.0,776.0,8.0,30.0,465.0,814.0,5.0
Rwanda,15.0,0.0,0.0,0.0,15.0,0.0,0.0
Senegal,1174.0,316.0,16.0,832.0,8.0,1164.0,0.0
Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sierra Leone,1376.0,853.0,1.0,12.0,509.0,866.0,1.0
Somalia,3844.0,415.0,0.0,3.0,3425.0,418.0,20.0
South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sudan,2812.0,2277.0,0.0,8.0,525.0,2285.0,207.0
Tanzania,2.0,0.0,0.0,0.0,1.0,0.0,0.0
Togo,93.0,80.0,0.0,2.0,10.0,82.0,0.0
Tunisia,24953.0,24853.0,0.0,0.0,99.0,24853.0,25.0
Uganda,48.0,0.0,0.0,0.0,48.0,0.0,0.0
Zambia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zimbabwe,5.0,0.0,0.0,0.0,5.0,0.0,0.0
