id,Country,latitude,longitude,Destination1,Destination2,Destination3,Central ,WesternMedi1,WesternMedi2,WesternAfrica,Final
DZ,Algeria,28.033886,1.659626,Libya,,,Libya,Algeria,,,United Kingdom
AO,Angola,-11.202692,17.873887,,,,,,,,
BJ,Benin,9.30769,2.315834,,,,,,,,
BW,Botswana,-22.328474,24.684866,,,,,,,,
BF,Burkina,12.238333,-1.561593,Libya,,,Libya,Algeria,,,United Kingdom
BI,Burundi,-3.373056,29.918886,,,,,,,,
CM,Cameroon,7.369722,12.354722,,,,,,,,
CV,Cape Verde,16.002082,-24.013197,,,,,,,,
CF,Central African Republic,6.611111,20.939444,,,,,,,,
CR,Côte d'Ivoire,-5.892826996,7.7200334,Burkina,Niger,,Libya,Algeria,,,United Kingdom
TD,Chad,15.454166,18.732207,Egypt,,,Libya,,,,United Kingdom
KM,Comoros,-11.875001,43.872219,,,,,,,,
CG,Congo,-4.038333,21.758664,,,,,,,,
CD,"Congo, Democratic Republic of",-0.228021,15.827659,,,,,,,,
DJ,Djibouti,11.825138,42.590275,,,,,,,,
EG,Egypt,26.820553,30.802498,Libya,,,Libya,,,,United Kingdom
GQ,Equatorial Guinea,1.650801,10.267895,,,,,,,,
ER,Eritrea,15.179384,39.782334,Sudan,Egypt,,Libya,,,,United Kingdom
ET,Ethiopia,9.145,40.489673,Libya,,,Libya,,,,United Kingdom
GA,Gabon,,,,,,,,,,
GM,Gambia,13.443182,-15.310139,Mali,,,,Algeria ,Morocco,,United Kingdom
GH,Ghana,7.946527,-1.023194,,,,,,,,
GN,Guinea,9.945587,-9.696645,Mali,,,,Algeria ,Morocco,,United Kingdom
GW,Guinea-Bissau,11.803749,-15.180413,,,,,,,,
CI,Ivory Coast,,,,,,,,,,
KE,Kenya,-0.023559,37.906193,Ethiopia,Eritrea,Sudan,Libya,,,,United Kingdom
LS,Lesotho,-29.609988,28.233608,,,,,,,,
LR,Liberia,6.428055,-9.429499,Burkina,,,Libya,Algeria ,,Mauritania,United Kingdom
LR,Libya,26.3351,17.228331,,,,,,,,
MW,Malawi,-13.254308,34.301525,,,,,,,,
ML,Mali,17.570692,-3.996166,Algeria,,,,Algeria,,,United Kingdom
MR,Mauritania,21.00789,-10.940835,,,,,,,,
MU,Mauritius,-20.348404,57.552152,,,,,,,,
MA,Morocco,31.791702,-7.09262,Algeria,,,,Algeria,,,United Kingdom
MZ,Mozambique,-18.665695,35.529562,,,,,,,,
NA,Namibia,-22.95764,18.49041,,,,,,,,
NE,Niger,17.607789,8.081666,,,,Libya,Algeria,,,United Kingdom
NG,Nigeria,9.081999,8.675277,Niger,,,Libya,Algeria,Morocco,,United Kingdom
RW,Rwanda,-1.940278,29.873888,,,,,,,,
ST,Sao Tome and Principe,0.18636,6.613081,,,,,,,,
GH,Senegal,14.497401,-14.452362,Mali,,,,Algeria ,Morocco,,United Kingdom
TZ,Seychelles,-4.679574,55.491977,,,,,,,,
GU,Sierra Leone,8.460555,-11.779889,,,,,,,,
GB,Somalia,5.152149,46.199616,Eritrea,Sudan,Egypt,Libya,,,,United Kingdom
ZA,South Africa,-30.559482,22.937506,,,,,,,,
IC,south Sudan,,,,,,,,,,
SD,Sudan,12.862807,30.217636,Egypt,,,Libya,,,,United Kingdom
SZ,Swaziland,-26.522503,31.465866,,,,,,,,
TZ,Tanzania,-6.369028,34.888822,,,,,,,,
TG,Togo,8.619543,0.824782,,,,,,,,
TN,Tunisia,33.886917,9.537499,,,,,,,,United Kingdom
UG,Uganda,1.373333,32.290275,,,,,,,,
ZM,Zambia,-13.133897,27.849332,,,,,,,,
ZW,Zimbabwe,-19.015438,29.154857,,,,,,,,
