id,Country,2018,2019,2020,2021,2022,2023,total_irregular_migrants,PercentOverall ,Percentage-2019,Percentage2020,Percentage2021,Percentage2022,Percentage2023
DZ,Algeria,0,0,10,111,133,2,256,1.63,0,0.523012552,1.930434783,2.084312804,0.123152709
BJ,Benin,0,0,1,,1,,2,0.01,0,0.052301255,0,0.015671525,0
BF,Burkina,0,0,1,1,11,2,15,0.1,0,0.052301255,0.017391304,0.172386773,0.123152709
BI,Burundi,0,0,,,2,,2,0.01,0,0,0,0.03134305,0
CM,Cameroon,0,0,,1,9,,10,0.06,0,0,0.017391304,0.141043724,0
CF,Central Africa,0,0,1,4,1,,6,0.04,0,0.052301255,0.069565217,0.015671525,0
TD,Chad,0,0,59,38,95,12,204,1.3,0,3.085774059,0.660869565,1.48879486,0.738916256
DJ,Djibouti,0,0,,2,,,2,0.01,0,0,0.034782609,0,0
EG,Egypt,0,1,54,395,1233,375,2058,13.12,6.25,2.824267782,6.869565217,19.32299013,23.091133
ER,Eritrea,0,0,509,2893,2020,611,6033,38.47,0,26.62133891,50.31304348,31.65648018,37.62315271
ET,Ethiopia,0,5,109,553,530,46,1243,7.93,31.25,5.70083682,9.617391304,8.305908165,2.832512315
GM,Gambia,0,2,16,23,19,7,67,0.43,12.5,0.836820084,0.4,0.297758972,0.431034483
GH,Ghana,0,0,2,5,5,2,14,0.09,0,0.10460251,0.086956522,0.078357624,0.123152709
GN,Guinea,0,2,24,21,27,15,89,0.57,12.5,1.255230126,0.365217391,0.423131171,0.92364532
GW,Guinea Bissau,0,0,3,1,1,,5,0.03,0,0.156903766,0.017391304,0.015671525,0
CI,Ivory Coast,0,1,10,7,5,3,26,0.17,6.25,0.523012552,0.12173913,0.078357624,0.184729064
KE,Kenya,0,0,,,1,,1,0.01,0,0,0,0.015671525,0
LR,Liberia,0,0,1,2,2,1,6,0.04,0,0.052301255,0.034782609,0.03134305,0.061576355
LY,Libya,0,0,27,162,133,58,380,2.42,0,1.412133891,2.817391304,2.084312804,3.571428571
ML,Mali,0,2,32,13,10,2,59,0.38,12.5,1.673640167,0.226086957,0.156715248,0.123152709
MR,Mauritania,0,0,3,3,3,,9,0.06,0,0.156903766,0.052173913,0.047014575,0
MA,Morocco,0,0,7,20,32,8,67,0.43,0,0.366108787,0.347826087,0.501488795,0.492610837
NE,Niger,0,1,4,11,,,16,0.1,6.25,0.209205021,0.191304348,0,0
NG,Nigeria,0,2,8,7,50,12,79,0.5,12.5,0.418410042,0.12173913,0.783576242,0.738916256
SN,Senegal,0,0,14,9,6,3,32,0.2,0,0.732217573,0.156521739,0.094029149,0.184729064
SL,Sierra Leone,0,0,2,1,11,3,17,0.11,0,0.10460251,0.017391304,0.172386773,0.184729064
SO,Somalia,0,0,14,320,86,18,438,2.79,0,0.732217573,5.565217391,1.347751136,1.108374384
ZA,South Africa,0,0,,1,,,1,0.01,0,0,0.017391304,0,0
SS,South Sudan,0,0,38,65,129,37,269,1.72,0,1.987447699,1.130434783,2.021626704,2.278325123
SD,Sudan,0,0,963,1067,1762,385,4177,26.63,0,50.36610879,18.55652174,27.61322677,23.70689655
TZ,Tanzania,0,0,,,12,5,17,0.11,0,0,0,0.188058298,0.307881773
TG,Togo,0,0,,,,2,2,0.01,0,0,0,0,0.123152709
TN,Tunisia,0,0,,13,50,15,78,0.5,0,0,0.226086957,0.783576242,0.92364532
EH,Western Sahara,0,0,,1,1,,2,0.01,0,0,0.017391304,0.015671525,0
ZW,Zimbabwe,0,0,,,1,,1,0.01,0,0,0,0.015671525,0
